Hours,Pass
0.29069746338450686,0
0.33345959701031264,0
0.3396302527213795,0
0.3549255817107785,0
0.40174768551509543,0
0.42675280590971143,0
0.445082028,0
0.44974768686469113,0
0.4510672559475931,0
0.5,0
0.5395141900014846,0
0.548110749,0
0.5537838370457563,0
0.5940517849583737,0
0.5983890088322011,0
0.5997165562391057,0
0.6140453498932115,0
0.6286535209487012,0
0.63425481,0
0.6396830705184262,0
0.6439664648140279,0
0.6552566709431048,0
0.6891698046616591,0
0.7006280841092485,0
0.7102004927515562,0
0.722262579,0
0.7325329333311066,0
0.74,0
0.7410446830448496,0
0.7427168451848472,0
0.7453108197521774,0
0.7772215663492672,0
0.7841025085323622,0
0.7914810095925331,0
0.8068158130844689,0
0.8081503092004882,0
0.816962345,0
0.8254816139595255,0
0.8338182629446806,0
0.8490309955742548,0
0.8490867800426679,0
0.856663172,0
0.8569837946060824,0
0.8619730482328621,0
0.8671049385757769,0
0.8692595419272607,0
0.8796976041176403,0
0.8856133411682361,0
0.8887378251414104,0
0.8903503379077173,0
0.9407313032243216,0
1,0
1.0144741825352201,0
1.0163703678705278,0
1.0259566826080273,0
1.049499825121131,0
1.0815595816095527,0
1.091402651336698,0
1.0950813792572884,0
1.1042931475810907,0
1.106004461341508,0
1.1152945212075258,0
1.161217729389108,0
1.1716340158007579,0
1.182365411353181,0
1.1831697853211784,0
1.2037785063867297,0
1.2170785950988385,0
1.2330291536769284,0
1.2405847480546779,0
1.2429452226930293,0
1.2459430446250286,0
1.25,0
1.259075250195966,0
1.2891119389031271,0
1.2933121478683063,0
1.2944966902289645,0
1.2969950383239703,0
1.3088072792902254,0
1.3200675996555955,0
1.327739401,0
1.3399903603740086,0
1.3402974999637234,0
1.345710707051184,0
1.3572333467821633,0
1.3681060151341113,0
1.373952586420319,0
1.4156502134891618,0
1.4222160590379678,0
1.4410586018740312,0
1.4499459147956957,0
1.4564286155214674,0
1.456800301085083,0
1.4602781690399018,0
1.4615963361186854,0
1.4635289036019223,0
1.4887730576908167,0
1.4898915908453327,0
1.4904603674334982,0
1.5,0
1.5049999857769065,0
1.5053381556417105,0
1.5173425077051044,0
1.5297292932301239,0
1.5365967317118459,0
1.5422826331903101,0
1.5503835557824004,0
1.5560604362928876,0
1.570345410167357,0
1.5894743967155085,0
1.5895141428497688,0
1.5987030014808756,0
1.6032185890591653,0
1.6176707546492852,0
1.6221068376779781,0
1.6455987903677174,0
1.695774680011214,0
1.6984450815700707,0
1.7002581730581618,0
1.7226257324834904,0
1.7247812224273111,0
1.726417913484605,0
1.7332743546360732,0
1.746284956229454,0
1.75,0
1.75,1
1.7597256397431669,0
1.7597630432350408,0
1.7650105696095317,0
1.7745335264457787,0
1.7967468814666558,0
1.8191601568840603,0
1.8199300792365731,0
1.8420564434273632,0
1.866059250138035,0
1.8708579787951647,0
1.8727635816706385,0
1.875909615322732,0
1.8823402080851985,0
1.8831703462460812,0
1.8851485575609923,0
1.9032441482935198,0
1.9118256894677887,0
1.934177157357418,0
1.9364414333549202,0
1.9439989003094718,0
1.9541249845965283,0
1.959309282814986,0
1.964878831806157,0
1.971407992049086,0
1.9720159531788812,0
1.9838226948726212,0
1.9997163646252751,0
2,0
2.040078355504555,0
2.0442492408564497,0
2.0473753564325254,0
2.05115679,0
2.079882723171812,0
2.094447954048464,0
2.0980317908736565,0
2.098928108881146,0
2.1140402901638318,0
2.1163710045476223,0
2.1191606763250714,0
2.130315064932028,0
2.134771414188439,0
2.138712895632665,0
2.1471817871159176,0
2.151323560358302,0
2.151852789,0
2.1519004407815006,0
2.153819744879641,0
2.154132734760373,0
2.170681798522236,0
2.185444476395906,0
2.2056638199880303,0
2.213445214403146,0
2.225223028047865,0
2.25,1
2.2764338265607136,0
2.279675029304818,0
2.2858075866113614,0
2.3095440376106153,0
2.3172697842545085,0
2.352410590225545,0
2.3575260206068247,0
2.365337285777817,0
2.3728160581249433,0
2.3744714793561577,0
2.4063132128606144,0
2.417900176413094,0
2.4689924353246577,0
2.480915859657211,0
2.5,0
2.5055452695824836,1
2.5144341715236105,1
2.5171720439605334,1
2.5259535125291936,1
2.540042512232051,1
2.5621345050066036,1
2.5639618266200412,1
2.5656024433317968,1
2.5710314738361935,1
2.5792549855419726,1
2.584256366758987,1
2.589202186726684,1
2.5956939426825114,1
2.6123668786419394,1
2.6160620085466326,1
2.6400362432561923,1
2.643501679951373,1
2.651016473993793,1
2.6538885388624176,1
2.666844092769129,1
2.6950170047466835,1
2.721626985776429,1
2.7414379460569314,1
2.75,1
2.753864120289497,1
2.7636537542252513,1
2.7949663033832075,1
2.7954685147503353,1
2.8078308673831485,1
2.8097381962544943,1
2.8215408625945546,1
2.8230743307814494,1
2.8259461473742435,1
2.832979194410842,1
2.839848496599251,1
2.8419605795928478,1
2.8436168608886585,1
2.8464147722620883,1
2.8496477111603618,1
2.8779748520902433,1
2.895728160781987,1
2.896337277448713,1
2.914596869,1
2.9351904238380113,1
2.935782570184275,1
2.9434197365769363,1
2.9582781002829286,1
2.9622450297274945,1
2.9658595212611623,1
2.971628152497755,1
2.9787896424446045,1
2.9795972548708387,1
2.980358745899076,1
3,0
3.0041511674603565,1
3.005063702992497,1
3.008432375012359,1
3.016732591639065,1
3.029468197928764,1
3.062617922341804,1
3.065383968080357,1
3.1023257734072107,1
3.106541647080547,1
3.117883725,1
3.1185669201446915,1
